time	V(vin)-V(vout)	V(vout)
1.041419243827333e-001	7.066641e-001	9.292901e+000
1.044074701927927e-001	7.199440e-001	9.238878e+000
1.048085637799437e-001	7.699146e-001	8.938717e+000
1.054579548498909e-001	8.791757e-001	7.959148e+000
1.064876276990417e-001	9.771900e-001	5.432919e+000
1.080168473139335e-001	-4.604900e-002	1.236344e+000
1.087522573412977e-001	-1.722741e+000	1.499922e-001
1.094700535087190e-001	-4.155364e+000	-9.037361e-006
1.104610039098404e-001	-7.188260e+000	-5.538084e-006
1.114035067844024e-001	-9.157727e+000	-2.909383e-006
1.117646364633303e-001	-9.618183e+000	-1.940788e-006
1.120329934240793e-001	-9.845418e+000	-1.237859e-006
1.123267868000930e-001	-9.978687e+000	-4.882322e-007
1.126855425345692e-001	-9.975547e+000	4.253854e-007
1.130520273053851e-001	-9.784234e+000	1.354628e-006
1.136463780630419e-001	-9.080575e+000	2.884420e-006
1.145944551020622e-001	-7.041364e+000	5.510016e-006
1.160278973023283e-001	-2.917931e+000	5.330336e-001
1.173950175838834e-001	6.610203e-002	2.645343e+000
1.187194517587997e-001	8.668842e-001	6.122283e+000
1.193871046948852e-001	8.065434e-001	7.743613e+000
1.200169588163343e-001	7.493219e-001	8.780806e+000
1.203392453312414e-001	7.114372e-001	9.115587e+000
1.206012445390582e-001	7.151051e-001	9.246642e+000
1.209539415067084e-001	7.232170e-001	9.266448e+000
1.212796957488409e-001	7.418270e-001	9.116925e+000
1.218088318079034e-001	8.248653e-001	8.506506e+000
1.226580330711162e-001	9.548726e-001	6.770966e+000
1.239662210043669e-001	7.168927e-001	3.082452e+000
1.249394544714057e-001	-3.955043e-001	6.237358e-001
1.255757237639535e-001	-2.153421e+000	-6.001023e-006
1.261722931323911e-001	-4.276967e+000	-8.681240e-006
1.267218803959365e-001	-6.044958e+000	-6.710422e-006
1.278210549230272e-001	-8.740670e+000	-3.564806e-006
1.282503667590543e-001	-9.409274e+000	-2.409082e-006
1.285644102803619e-001	-9.743356e+000	-1.589027e-006
1.288288046874371e-001	-9.918992e+000	-9.051994e-007
1.290851339482601e-001	-9.995276e+000	-2.502019e-007
1.293863543999483e-001	-9.965725e+000	5.113106e-007
1.297742305273858e-001	-9.738836e+000	1.503361e-006
1.304026450555164e-001	-8.933942e+000	3.114393e-006
1.314014355523737e-001	-6.656087e+000	5.965503e-006
1.328952713448078e-001	-2.299979e+000	6.560205e-001
1.341560008073773e-001	2.468958e-001	2.805008e+000
1.353216511431606e-001	8.470902e-001	5.966210e+000
1.360114728564137e-001	8.378825e-001	7.628493e+000
1.367810732868859e-001	7.497683e-001	8.885191e+000
1.370453495838929e-001	7.096024e-001	9.143868e+000
1.373417776848972e-001	7.191706e-001	9.263045e+000
1.376911327565444e-001	7.281303e-001	9.245921e+000
1.380611211169793e-001	7.578287e-001	9.019263e+000
1.386610603651536e-001	8.569727e-001	8.200276e+000
1.396175036428581e-001	9.765711e-001	6.002824e+000
1.410610982117278e-001	1.209764e-001	2.142184e+000
1.420992128277487e-001	-2.018202e+000	3.947587e-001
1.430574685848941e-001	-5.006236e+000	-8.233806e-006
1.439692416744687e-001	-7.630698e+000	-5.082568e-006
1.447617911721995e-001	-9.195107e+000	-2.833819e-006
1.451162966485304e-001	-9.636863e+000	-1.887347e-006
1.453801044090980e-001	-9.854382e+000	-1.201095e-006
1.456768367606373e-001	-9.982601e+000	-4.455603e-007
1.460251094237902e-001	-9.973876e+000	4.418299e-007
1.463955009504186e-001	-9.776265e+000	1.380036e-006
1.469960830497710e-001	-9.054551e+000	2.927304e-006
1.479534875665148e-001	-6.972241e+000	5.590507e-006
1.493982438981860e-001	-2.886186e+000	6.370276e-001
1.508651646799384e-001	1.647146e-001	3.039358e+000
1.522720207635954e-001	8.743253e-001	6.681426e+000
1.528668931858699e-001	7.924376e-001	8.030877e+000
1.534677844004417e-001	7.344055e-001	8.920509e+000
1.537270988233194e-001	7.093029e-001	9.153707e+000
1.540267669615986e-001	7.183809e-001	9.267715e+000
1.543646277931224e-001	7.271185e-001	9.245047e+000
1.547388950096373e-001	7.594528e-001	9.008761e+000
1.553456544813017e-001	8.600616e-001	8.168334e+000
1.563122837675010e-001	9.775376e-001	5.925565e+000
1.577681396159494e-001	1.849114e-001	1.929733e+000
1.586555638620558e-001	-1.578136e+000	3.663409e-001
1.595053384787741e-001	-4.275985e+000	-9.264339e-006
1.604001696920662e-001	-7.026949e+000	-5.810839e-006
1.612194419459719e-001	-8.857171e+000	-3.373419e-006
1.616305736827283e-001	-9.467637e+000	-2.287565e-006
1.619326392321766e-001	-9.772125e+000	-1.494623e-006
1.622055159723272e-001	-9.938438e+000	-7.948116e-007
1.624828741352499e-001	-9.999791e+000	-8.758300e-008
1.627436345586707e-001	-9.957850e+000	5.792174e-007
1.631464995250331e-001	-9.704461e+000	1.597133e-006
1.637986975155845e-001	-8.825225e+000	3.282450e-006
1.648324819294824e-001	-6.376719e+000	6.301839e-006
1.663663296095388e-001	-1.893707e+000	7.638810e-001
1.675799919872836e-001	3.781011e-001	2.997424e+000
1.687636240356259e-001	8.483520e-001	6.258940e+000
1.694162896797048e-001	8.075304e-001	7.799167e+000
1.700687259513644e-001	7.414007e-001	8.846027e+000
1.703443701620435e-001	7.097826e-001	9.120801e+000
1.706335266685376e-001	7.208595e-001	9.250784e+000
1.710089502131184e-001	7.302904e-001	9.247802e+000
1.713692129605282e-001	7.541857e-001	9.042443e+000
1.719536304285027e-001	8.499279e-001	8.271386e+000
1.728867934904825e-001	9.737334e-001	6.176518e+000
1.743019580355085e-001	3.151970e-001	2.286091e+000
1.752489852850101e-001	-1.440747e+000	5.034721e-001
1.762355406440023e-001	-4.491260e+000	-8.697641e-006
1.770862459622980e-001	-7.078822e+000	-5.611166e-006
1.779049727324093e-001	-8.889961e+000	-3.322481e-006
1.783108839726856e-001	-9.484069e+000	-2.252044e-006
1.786094825420365e-001	-9.780197e+000	-1.468652e-006
1.788846225068155e-001	-9.943525e+000	-7.641794e-007
1.791377447989101e-001	-9.999406e+000	-1.188222e-007
1.794059165843109e-001	-9.959352e+000	5.680544e-007
1.798060380041872e-001	-9.710910e+000	1.578669e-006
1.804538881415498e-001	-8.845489e+000	3.252395e-006
1.814813017172040e-001	-6.428402e+000	6.238230e-006
1.830079698504403e-001	-2.084042e+000	8.605244e-001
1.844095560904839e-001	4.436529e-001	3.503210e+000
1.856712920660623e-001	8.542824e-001	6.861953e+000
1.862450511151436e-001	7.858772e-001	8.115703e+000
1.868339852738245e-001	7.316866e-001	8.954756e+000
1.870851968920980e-001	7.089958e-001	9.168984e+000
1.873902402315584e-001	7.170200e-001	9.274421e+000
1.877091846498949e-001	7.253771e-001	9.243544e+000
1.880904830517568e-001	7.621489e-001	8.991103e+000
1.887084379061849e-001	8.651171e-001	8.114985e+000
1.896917288603310e-001	9.786129e-001	5.797679e+000
1.911674017753116e-001	9.043992e-002	1.780651e+000
1.920588337436955e-001	-1.775105e+000	3.020502e-001
1.928794182444663e-001	-4.414334e+000	-8.889750e-006
1.938764000580255e-001	-7.399857e+000	-5.352583e-006
1.947753615651384e-001	-9.215095e+000	-2.796083e-006
1.951262788772234e-001	-9.646843e+000	-1.872209e-006
1.953876143807192e-001	-9.859156e+000	-1.185552e-006
1.956859580008448e-001	-9.984569e+000	-4.191772e-007
1.960285090212837e-001	-9.972943e+000	4.493351e-007
1.964010308984906e-001	-9.771858e+000	1.401010e-006
1.970050090634402e-001	-9.040217e+000	2.946576e-006
1.979674876998643e-001	-6.934309e+000	5.637176e-006
1.994183605190205e-001	-2.712522e+000	5.373218e-001
2.007143970040783e-001	9.599948e-002	2.564773e+000
2.019809439929729e-001	8.596931e-001	5.933233e+000
2.026733237891599e-001	8.226085e-001	7.634092e+000
2.033666098711013e-001	7.503548e-001	8.798227e+000
2.036640064513497e-001	7.119846e-001	9.109004e+000
2.039525086943848e-001	7.216597e-001	9.245767e+000
2.043369219826084e-001	7.309923e-001	9.248416e+000
2.046938231175101e-001	7.529411e-001	9.050233e+000
2.052728693198422e-001	8.474874e-001	8.295478e+000
2.061979451231930e-001	9.724078e-001	6.236054e+000
2.076031036160606e-001	2.638988e-001	2.454363e+000
2.086677636527005e-001	-1.774742e+000	5.173068e-001
2.097110427234446e-001	-4.963448e+000	-8.540914e-006
2.106477781504958e-001	-7.659543e+000	-5.172516e-006
2.115432878615010e-001	-9.356596e+000	-2.543820e-006
2.118677441888259e-001	-9.717276e+000	-1.674190e-006
2.121248135869562e-001	-9.900137e+000	-1.001982e-006
2.124101467907915e-001	-9.994263e+000	-2.743830e-007
2.127165924310862e-001	-9.966683e+000	5.075011e-007
2.131025302955687e-001	-9.743126e+000	1.484062e-006
2.137278640604700e-001	-8.947644e+000	3.096889e-006
2.147220961969582e-001	-6.691665e+000	5.920991e-006
2.162106179202455e-001	-2.438851e+000	7.280450e-001
2.176033737711995e-001	2.924190e-001	3.165947e+000
2.188874934442498e-001	8.602366e-001	6.567690e+000
2.194990033545235e-001	8.002286e-001	7.961028e+000
2.201345775731633e-001	7.371683e-001	8.917871e+000
2.203938607298823e-001	7.092962e-001	9.153772e+000
2.206935494098082e-001	7.183733e-001	9.267745e+000
2.210313375947137e-001	7.271118e-001	9.245041e+000
2.214056318382450e-001	7.594633e-001	9.008695e+000
2.220124343720284e-001	8.600807e-001	8.168132e+000
2.229791278862815e-001	9.775429e-001	5.925076e+000
2.244350606991716e-001	2.013909e-001	1.912316e+000
2.253022893879861e-001	-1.504382e+000	3.672431e-001
2.261377057642269e-001	-4.158743e+000	-9.447891e-006
2.269774264830086e-001	-6.783183e+000	-6.080751e-006
2.277518056859084e-001	-8.610880e+000	-3.727069e-006
2.282007804966956e-001	-9.344335e+000	-2.536180e-006
2.285276120667124e-001	-9.711192e+000	-1.677294e-006
2.287830170265013e-001	-9.895589e+000	-1.020529e-006
2.290999557805820e-001	-9.996837e+000	-2.143006e-007
2.293918670480871e-001	-9.963983e+000	5.297558e-007
2.297831947019517e-001	-9.731107e+000	1.520028e-006
2.304170923178008e-001	-8.909340e+000	3.155783e-006
2.314239814357474e-001	-6.592415e+000	6.039564e-006
2.329272011871253e-001	-2.280560e+000	7.554529e-001
2.342869982185080e-001	3.311980e-001	3.187082e+000
2.355215580641987e-001	8.544288e-001	6.490651e+000
2.361437760628838e-001	8.051934e-001	7.915974e+000
2.367996597405253e-001	7.389069e-001	8.914575e+000
2.370593345531517e-001	7.093143e-001	9.153012e+000
2.373587660305846e-001	7.184362e-001	9.267392e+000
2.376974640282721e-001	7.271929e-001	9.245111e+000
2.380714197759921e-001	7.593346e-001	9.009532e+000
2.386776829690439e-001	8.598366e-001	8.170673e+000
2.396435719677243e-001	9.774747e-001	5.931204e+000
2.410985404126537e-001	2.170168e-001	1.908431e+000
2.419525022491945e-001	-1.446817e+000	3.713267e-001
2.427806754228098e-001	-4.077334e+000	-9.596038e-006
2.435819399721149e-001	-6.609171e+000	-6.276075e-006
2.443253810087986e-001	-8.427173e+000	-3.974746e-006
2.448013133023580e-001	-9.252649e+000	-2.707489e-006
2.451453968749373e-001	-9.665577e+000	-1.802922e-006
2.454020082975398e-001	-9.868087e+000	-1.142996e-006
2.457034580338322e-001	-9.988016e+000	-3.768352e-007
2.460350284911249e-001	-9.971106e+000	4.678482e-007
2.464116352142967e-001	-9.763289e+000	1.421917e-006
2.470221214119922e-001	-9.012451e+000	2.994812e-006
2.479943051984195e-001	-6.861111e+000	5.720853e-006
2.494568007009520e-001	-2.663853e+000	6.303226e-001
2.508302445545397e-001	1.822684e-001	2.896825e+000
2.521219243212799e-001	8.626456e-001	6.310544e+000
2.527661914803558e-001	8.016114e-001	7.836720e+000
2.533871231605868e-001	7.395191e-001	8.831750e+000
2.536665029838008e-001	7.090034e-001	9.113753e+000
2.539441893069304e-001	7.206917e-001	9.244157e+000
2.543338121239121e-001	7.313881e-001	9.248766e+000
2.546887632274557e-001	7.522249e-001	9.054698e+000
2.552646921855680e-001	8.460703e-001	8.309338e+000
2.561850672748268e-001	9.715791e-001	6.270446e+000
2.575843795294545e-001	4.171255e-001	2.368998e+000
2.584899313788747e-001	-1.123376e+000	5.333580e-001
2.593771115667916e-001	-3.834178e+000	-9.523009e-006
2.600749005942196e-001	-6.103913e+000	-6.637874e-006
2.607543370346837e-001	-7.911556e+000	-4.619703e-006
2.613020031405349e-001	-8.997348e+000	-3.141635e-006
2.616904522361779e-001	-9.537889e+000	-2.118114e-006
2.619773650758305e-001	-9.806524e+000	-1.379415e-006
2.622595271794386e-001	-9.958935e+000	-6.600408e-007
2.626102567392167e-001	-9.991363e+000	2.332737e-007
2.629295131450080e-001	-9.869192e+000	1.042455e-006
2.634482064692594e-001	-9.367869e+000	2.373563e-006
2.642813747966584e-001	-7.828509e+000	4.585388e-006
2.655683913496527e-001	-4.422545e+000	3.994325e-001
2.673442295912322e-001	5.796521e-001	1.947013e+000
2.673814958272255e-001	6.279931e-001	2.034350e+000
2.674745112271578e-001	6.318832e-001	2.367516e+000
2.675675266270901e-001	6.366891e-001	2.695154e+000
2.676605420270223e-001	6.424110e-001	3.017264e+000
2.677535574269546e-001	6.490487e-001	3.333846e+000
2.678465728268869e-001	6.566023e-001	3.644899e+000
2.679395882268191e-001	6.650717e-001	3.950425e+000
2.680326036267514e-001	6.744571e-001	4.250422e+000
2.685151996157122e-001	7.763948e-001	5.641891e+000
2.694803915936339e-001	8.002520e-001	7.926964e+000
2.699117693985292e-001	7.308216e-001	8.671716e+000
2.702640002702671e-001	7.148495e-001	9.055696e+000
2.705363986513759e-001	7.087984e-001	9.228612e+000
2.708118543979471e-001	7.083521e-001	9.291320e+000
2.710753498635922e-001	7.197218e-001	9.238686e+000
2.714772024495403e-001	7.702169e-001	8.936630e+000
2.721277963530832e-001	8.797092e-001	7.953010e+000
2.731592317198255e-001	9.586997e-001	5.437112e+000
2.745513431831793e-001	3.678160e-001	1.315527e+000
2.750683547214051e-001	-4.376030e-001	1.799403e-001
2.753270532343970e-001	-1.229826e+000	-1.397010e-005
2.754791335388305e-001	-1.796472e+000	-1.238603e-005
2.756243352339886e-001	-2.332005e+000	-1.132408e-005
2.759147386243048e-001	-3.380530e+000	-9.759588e-006
2.764955454049370e-001	-5.344074e+000	-7.491040e-006
2.776571589662016e-001	-8.424015e+000	-4.005917e-006
2.781335469137560e-001	-9.251075e+000	-2.718653e-006
2.784779193269578e-001	-9.664793e+000	-1.809832e-006
2.787347308347179e-001	-9.867714e+000	-1.145924e-006
2.790360482938015e-001	-9.987878e+000	-3.780463e-007
2.793680850751388e-001	-9.971185e+000	4.663436e-007
2.797445184133316e-001	-9.763656e+000	1.423070e-006
2.803547284729934e-001	-9.013637e+000	2.991579e-006
2.813265009669836e-001	-6.864231e+000	5.825658e-006
2.827885059584485e-001	-2.222794e+000	1.832543e-001
2.836424842364919e-001	2.300177e-001	9.328170e-001
2.839807135561248e-001	6.254667e-001	1.790943e+000
2.842539660271056e-001	6.460381e-001	2.755405e+000
2.845321498269518e-001	6.734495e-001	3.693695e+000
2.850885174266443e-001	7.802582e-001	5.364243e+000
2.860163766252602e-001	8.014793e-001	7.674720e+000
2.864852043302468e-001	7.500648e-001	8.527022e+000
2.869406118388552e-001	7.248478e-001	9.053614e+000
2.872154209816740e-001	7.066278e-001	9.235878e+000
2.874657145391392e-001	7.067194e-001	9.292445e+000
2.877372561297174e-001	7.205915e-001	9.239434e+000
2.881361298655427e-001	7.690306e-001	8.944788e+000
