time	V(vout)	I(D1)
2.988277597079136e-002	9.246258e+000	3.549287e-008
2.995944130838002e-002	9.243587e+000	3.924495e-008
3.005944130838001e-002	9.240102e+000	4.412368e-008
3.015944130838000e-002	9.236618e+000	4.898334e-008
3.025944130837999e-002	9.233135e+000	5.382094e-008
3.045944130837996e-002	9.226175e+000	6.342157e-008
3.075944130837993e-002	9.215744e+000	7.760036e-008
3.105944130837990e-002	9.205325e+000	9.146015e-008
3.135944130837987e-002	9.194918e+000	1.049407e-007
3.165944130837983e-002	9.184522e+000	1.179828e-007
3.195944130837980e-002	9.174138e+000	1.305298e-007
3.225944130837977e-002	9.163766e+000	1.425246e-007
3.255944130837973e-002	9.153406e+000	1.539129e-007
3.285944130837970e-002	9.143057e+000	1.646411e-007
3.315944130837967e-002	9.132721e+000	1.746553e-007
3.345944130837963e-002	9.122395e+000	1.839044e-007
3.375944130837960e-002	9.112082e+000	1.923361e-007
3.405944130837957e-002	9.101779e+000	1.998997e-007
3.435944130837954e-002	9.091489e+000	2.065422e-007
3.465944130837950e-002	9.081210e+000	2.122092e-007
3.495944130837947e-002	9.070943e+000	2.168417e-007
3.525944130837944e-002	9.060688e+000	2.203735e-007
3.555944130837940e-002	9.050444e+000	2.227280e-007
3.585944130837937e-002	9.040212e+000	2.238114e-007
3.615944130837934e-002	9.029991e+000	2.235256e-007
3.625944130837933e-002	9.026587e+000	2.248535e-007
3.635944130837931e-002	9.023184e+000	3.619339e-007
3.645944130837930e-002	9.019782e+000	7.812596e-006
3.655944130837929e-002	9.016384e+000	2.849834e-004
3.665944130837928e-002	9.012993e+000	1.676280e-003
3.668924092375547e-002	9.011990e+000	3.611673e-003
3.671725125363248e-002	9.011060e+000	8.163821e-003
3.673576894623618e-002	9.010461e+000	1.426643e-002
3.675646387552053e-002	9.009819e+000	2.668061e-002
3.677534707505192e-002	9.009279e+000	4.631695e-002
3.679501120915321e-002	9.008797e+000	8.102792e-002
3.681524128018010e-002	9.008443e+000	1.402163e-001
3.683677082374046e-002	9.008331e+000	2.425018e-001
3.686055316521600e-002	9.008730e+000	4.205422e-001
3.688887194312437e-002	9.010406e+000	7.396142e-001
3.693003116847590e-002	9.015434e+000	1.349326e+000
3.696482513136318e-002	9.022679e+000	1.918381e+000
3.700911688400943e-002	9.036067e+000	2.589804e+000
3.705155950210354e-002	9.052479e+000	3.062675e+000
3.711361389790996e-002	9.080411e+000	3.411272e+000
3.719729243832085e-002	9.119934e+000	3.446481e+000
3.727809034700380e-002	9.156303e+000	3.158960e+000
3.736570786383642e-002	9.190492e+000	2.642706e+000
3.745540434199068e-002	9.217961e+000	2.036805e+000
3.755540434199067e-002	9.239281e+000	1.371671e+000
3.765540434199066e-002	9.251965e+000	7.928134e-001
3.774204250201149e-002	9.256819e+000	4.182849e-001
3.783409261654161e-002	9.257749e+000	1.605672e-001
3.788637329511796e-002	9.257035e+000	7.440583e-002
3.791878087327863e-002	9.256217e+000	4.446248e-002
3.794738454960042e-002	9.255375e+000	2.785529e-002
3.797448590393468e-002	9.254520e+000	1.739732e-002
3.800002505057651e-002	9.253683e+000	1.086441e-002
3.802439206950212e-002	9.252865e+000	6.801754e-003
3.805034538600785e-002	9.251980e+000	4.023754e-003
3.807403422014816e-002	9.251164e+000	2.438893e-003
3.810131879783330e-002	9.250219e+000	1.358039e-003
3.813107245817748e-002	9.249187e+000	7.017555e-004
3.816749168306827e-002	9.247919e+000	3.094242e-004
3.821197791991912e-002	9.246369e+000	1.124540e-004
3.827264198350508e-002	9.244255e+000	2.972194e-005
3.836347052740488e-002	9.241090e+000	3.785944e-006
3.846347052740487e-002	9.237605e+000	2.240199e-008
3.856347052740486e-002	9.234123e+000	-1.862861e-007
3.866347052740485e-002	9.230641e+000	-1.972521e-007
3.896347052740481e-002	9.220205e+000	-2.071567e-007
3.926347052740478e-002	9.209782e+000	-2.119889e-007
3.956347052740475e-002	9.199369e+000	-2.136267e-007
3.986347052740472e-002	9.188969e+000	-2.129652e-007
4.016347052740468e-002	9.178579e+000	-2.105057e-007
4.046347052740465e-002	9.168202e+000	-2.065517e-007
4.076347052740462e-002	9.157837e+000	-2.013037e-007
4.106347052740458e-002	9.147484e+000	-1.949040e-007
4.136347052740455e-002	9.137141e+000	-1.874616e-007
4.166347052740452e-002	9.126811e+000	-1.790659e-007
4.196347052740448e-002	9.116492e+000	-1.697936e-007
4.226347052740445e-002	9.106185e+000	-1.597132e-007
4.256347052740442e-002	9.095890e+000	-1.488909e-007
4.286347052740439e-002	9.085607e+000	-1.373887e-007
4.316347052740435e-002	9.075335e+000	-1.252681e-007
4.346347052740432e-002	9.065074e+000	-1.125893e-007
4.376347052740429e-002	9.054825e+000	-9.941346e-008
4.406347052740425e-002	9.044588e+000	-8.580037e-008
4.436347052740422e-002	9.034363e+000	-7.181166e-008
4.456347052740420e-002	9.027552e+000	-6.230744e-008
4.466347052740419e-002	9.024149e+000	-5.750849e-008
4.476347052740418e-002	9.020746e+000	-5.268134e-008
4.486347052740417e-002	9.017346e+000	-4.782896e-008
4.496347052740415e-002	9.013955e+000	-4.296055e-008
4.503300052863160e-002	9.011615e+000	-3.958057e-008
4.505795497329851e-002	9.010792e+000	-3.838267e-008
4.508041666050591e-002	9.010077e+000	-3.733134e-008
4.509950367778662e-002	9.009506e+000	-3.647301e-008
4.511935849586812e-002	9.008976e+000	-3.563966e-008
4.513916497651646e-002	9.008556e+000	-3.490406e-008
4.516008122599727e-002	9.008312e+000	-3.428868e-008
4.518266326637604e-002	9.008429e+000	-3.389162e-008
4.520844577301986e-002	9.009356e+000	-3.387859e-008
4.524174695583480e-002	9.012279e+000	-3.450975e-008
4.527938494226058e-002	9.018368e+000	-3.575358e-008
4.531811125229746e-002	9.028103e+000	-3.707922e-008
4.535961007588471e-002	9.042295e+000	-3.792890e-008
4.540925060386361e-002	9.063122e+000	-3.766979e-008
4.548686319172743e-002	9.099259e+000	-3.502991e-008
4.556695309113013e-002	9.136593e+000	-3.033126e-008
4.565809257289458e-002	9.175344e+000	-2.346669e-008
4.574038424585203e-002	9.204158e+000	-1.664083e-008
4.584038424585202e-002	9.230052e+000	-8.170446e-009
4.594038424585201e-002	9.246762e+000	5.684342e-012
4.604038424585200e-002	9.255419e+000	7.556948e-009
4.612232331933175e-002	9.257713e+000	1.306229e-008
4.620924966314233e-002	9.257230e+000	1.828632e-008
4.623811352564355e-002	9.256623e+000	1.988932e-008
4.627000076204343e-002	9.255717e+000	2.157401e-008
4.629816555768590e-002	9.254848e+000	2.302836e-008
4.633015973054011e-002	9.253807e+000	2.465234e-008
4.635902984550858e-002	9.252840e+000	2.610123e-008
4.638705462282217e-002	9.251884e+000	2.749654e-008
4.641951518238546e-002	9.250765e+000	2.910355e-008
4.645575395088744e-002	9.249508e+000	3.089078e-008
4.650084057434339e-002	9.247939e+000	3.310799e-008
4.655854486577588e-002	9.245929e+000	3.593887e-008
4.664222347645827e-002	9.243012e+000	4.003262e-008
4.674222347645826e-002	9.239529e+000	4.490857e-008
4.684222347645825e-002	9.236045e+000	4.976482e-008
4.694222347645824e-002	9.232563e+000	5.459856e-008
4.714222347645822e-002	9.225603e+000	6.419032e-008
4.744222347645818e-002	9.215172e+000	7.835342e-008
4.774222347645815e-002	9.204754e+000	9.219480e-008
4.804222347645812e-002	9.194347e+000	1.056530e-007
4.834222347645809e-002	9.183952e+000	1.186700e-007
4.864222347645805e-002	9.173569e+000	1.311889e-007
4.894222347645802e-002	9.163198e+000	1.431526e-007
4.924222347645799e-002	9.152838e+000	1.545066e-007
4.954222347645795e-002	9.142490e+000	1.651974e-007
4.984222347645792e-002	9.132154e+000	1.751721e-007
5.014222347645789e-002	9.121828e+000	1.843782e-007
5.044222347645785e-002	9.111516e+000	1.927649e-007
5.074222347645782e-002	9.101214e+000	2.002807e-007
5.104222347645779e-002	9.090924e+000	2.068725e-007
5.134222347645776e-002	9.080647e+000	2.124850e-007
5.164222347645772e-002	9.070380e+000	2.170607e-007
5.194222347645769e-002	9.060125e+000	2.205309e-007
5.224222347645766e-002	9.049883e+000	2.228198e-007
5.254222347645762e-002	9.039650e+000	2.238319e-007
5.284222347645759e-002	9.029430e+000	2.234872e-007
5.294222347645758e-002	9.026026e+000	2.266700e-007
5.304222347645757e-002	9.022623e+000	4.947442e-007
5.314222347645756e-002	9.019222e+000	1.418855e-005
5.324222347645755e-002	9.015826e+000	4.933874e-004
5.334222347645753e-002	9.012446e+000	3.690940e-003
5.338658872609642e-002	9.010969e+000	9.564425e-003
5.340861089537924e-002	9.010260e+000	1.731786e-002
5.342776101292049e-002	9.009677e+000	3.072611e-002
5.344847767243671e-002	9.009105e+000	5.597236e-002
5.346780879131888e-002	9.008665e+000	9.595627e-002
5.348865916141715e-002	9.008367e+000	1.673439e-001
5.351069321560761e-002	9.008377e+000	2.887718e-001
5.353558645843201e-002	9.009053e+000	5.024629e-001
5.356642696403752e-002	9.011463e+000	8.881211e-001
5.361138978855884e-002	9.018309e+000	1.591484e+000
5.365039397469343e-002	9.027846e+000	2.221781e+000
5.369255157879116e-002	9.042170e+000	2.800318e+000
5.374102013823279e-002	9.062427e+000	3.228178e+000
5.381771263117144e-002	9.098094e+000	3.478696e+000
5.389796601944374e-002	9.135676e+000	3.360009e+000
5.398005974632636e-002	9.170943e+000	2.967898e+000
5.406643035435668e-002	9.201800e+000	2.416474e+000
5.416499075337383e-002	9.228195e+000	1.744776e+000
5.426499075337382e-002	9.245667e+000	1.110029e+000
5.436499075337381e-002	9.254979e+000	5.896035e-001
5.444672325838906e-002	9.257637e+000	2.944026e-001
5.453432811938649e-002	9.257368e+000	1.012147e-001
5.456822682733251e-002	9.256701e+000	5.776164e-002
5.459641648449054e-002	9.255918e+000	3.713191e-002
5.462449364658312e-002	9.255063e+000	2.331018e-002
5.465096180370721e-002	9.254214e+000	1.455709e-002
5.467598079176070e-002	9.253386e+000	9.093788e-003
5.470003783129257e-002	9.252572e+000	5.677586e-003
5.472545963409220e-002	9.251702e+000	3.365798e-003
5.474900016806145e-002	9.250891e+000	2.021761e-003
5.477360319141308e-002	9.250038e+000	1.172838e-003
5.480008406750792e-002	9.249118e+000	6.453365e-004
5.483227947050218e-002	9.247997e+000	3.087818e-004
5.487062855553090e-002	9.246661e+000	1.262553e-004
5.492120570087647e-002	9.244899e+000	3.973651e-005
5.499248329113002e-002	9.242414e+000	7.922947e-006
5.509248329113001e-002	9.238930e+000	5.294368e-007
5.519248329113000e-002	9.235447e+000	-1.660364e-007
5.529248329112999e-002	9.231965e+000	-1.950783e-007
5.559248329112995e-002	9.221527e+000	-2.062508e-007
5.589248329112992e-002	9.211102e+000	-2.115820e-007
5.619248329112989e-002	9.200687e+000	-2.135602e-007
5.649248329112985e-002	9.190286e+000	-2.131545e-007
5.679248329112982e-002	9.179895e+000	-2.109011e-007
5.709248329112979e-002	9.169517e+000	-2.071222e-007
