time	V(vin)-V(vout)	V(vout)
2.728851065803586e-002	-1.451846e+001	6.922137e+000
2.758851065803583e-002	-1.588557e+001	7.603807e+000
2.788851065803580e-002	-1.704184e+001	8.180464e+000
2.818851065803577e-002	-1.797237e+001	8.644602e+000
2.848851065803573e-002	-1.866517e+001	8.990198e+000
2.878851065803570e-002	-1.911133e+001	9.212774e+000
2.908851065803567e-002	-1.930511e+001	9.309449e+000
2.938851065803563e-002	-1.924402e+001	9.278973e+000
2.968851065803560e-002	-1.892885e+001	9.121739e+000
2.998851065803557e-002	-1.836364e+001	8.839783e+000
3.028851065803553e-002	-1.755568e+001	8.436754e+000
3.058851065803550e-002	-1.651535e+001	7.917880e+000
3.088851065803547e-002	-1.525606e+001	7.289901e+000
3.118851065803543e-002	-1.379407e+001	6.561005e+000
3.148851065803540e-002	-1.214830e+001	5.740748e+000
3.178851065803537e-002	-1.034016e+001	4.839991e+000
3.208851065803534e-002	-8.393384e+000	3.870879e+000
3.238851065803530e-002	-6.334074e+000	2.847017e+000
3.258851065803528e-002	-4.912916e+000	2.141754e+000
3.268851065803527e-002	-4.191486e+000	1.784434e+000
3.278851065803526e-002	-3.464797e+000	1.425275e+000
3.288851065803525e-002	-2.734921e+000	1.065828e+000
3.298851065803524e-002	-2.005438e+000	7.091454e-001
3.308851065803523e-002	-1.289415e+000	3.677655e-001
3.318851065803521e-002	-6.131660e-001	6.746853e-002
3.321662618011795e-002	-4.553805e-001	1.554686e-002
3.323918431418693e-002	-3.567769e-001	1.917984e-003
3.325042176546844e-002	-3.129310e-001	4.126572e-004
3.326599387075646e-002	-2.539336e-001	9.712920e-005
3.328255774550620e-002	-1.914264e-001	1.864230e-005
3.331331872854157e-002	-7.545425e-002	1.684012e-006
3.336071674054519e-002	1.032110e-001	2.022265e-005
3.340277016747389e-002	2.612638e-001	4.770495e-004
3.343213281403448e-002	3.689843e-001	3.394847e-003
3.345038959568292e-002	4.291394e-001	1.200906e-002
3.346669675226058e-002	4.708006e-001	3.175582e-002
3.348444062694075e-002	5.012060e-001	6.814709e-002
3.350763585885147e-002	5.262410e-001	1.303912e-001
3.353363084249225e-002	5.442175e-001	2.101690e-001
3.356753718484415e-002	5.593132e-001	3.224678e-001
3.363193819736524e-002	5.779665e-001	5.453713e-001
3.372093991811789e-002	5.951296e-001	8.609182e-001
3.382093991811788e-002	6.083727e-001	1.219526e+000
3.392093991811787e-002	6.181216e-001	1.579030e+000
3.402093991811786e-002	6.257386e-001	1.937543e+000
3.422093991811784e-002	6.373150e-001	2.646786e+000
3.442093991811782e-002	6.460450e-001	3.340214e+000
3.472093991811778e-002	6.559858e-001	4.339827e+000
3.502093991811775e-002	6.635294e-001	5.278005e+000
3.532093991811772e-002	6.694546e-001	6.141883e+000
3.562093991811768e-002	6.741776e-001	6.919932e+000
3.592093991811765e-002	6.779432e-001	7.601907e+000
3.622093991811762e-002	6.809034e-001	8.178892e+000
3.652093991811758e-002	6.831560e-001	8.643379e+000
3.682093991811755e-002	6.847668e-001	8.989340e+000
3.712093991811752e-002	6.857767e-001	9.212292e+000
3.742093991811749e-002	6.862097e-001	9.309349e+000
3.772093991811745e-002	6.860762e-001	9.279256e+000
3.802093991811742e-002	6.853724e-001	9.122402e+000
3.832093991811739e-002	6.840830e-001	8.840816e+000
3.862093991811735e-002	6.821737e-001	8.438147e+000
3.892093991811732e-002	6.795974e-001	7.919611e+000
3.922093991811729e-002	6.762719e-001	7.291949e+000
3.952093991811725e-002	6.720762e-001	6.563344e+000
3.982093991811722e-002	6.668234e-001	5.743347e+000
4.012093991811719e-002	6.602001e-001	4.842814e+000
4.042093991811716e-002	6.516564e-001	3.873889e+000
4.072093991811712e-002	6.400819e-001	2.850169e+000
4.092093991811710e-002	6.294692e-001	2.144968e+000
4.102093991811709e-002	6.226887e-001	1.787672e+000
4.112093991811708e-002	6.143322e-001	1.428526e+000
4.122093991811707e-002	6.033814e-001	1.069072e+000
4.132093991811706e-002	5.873323e-001	7.123398e-001
4.142093991811705e-002	5.544165e-001	3.706271e-001
4.152093991811703e-002	4.781892e-001	7.091138e-002
4.155137376247603e-002	4.193572e-001	1.514994e-002
4.157456131717272e-002	3.455321e-001	1.627128e-003
4.158574353158689e-002	3.046923e-001	3.334021e-004
4.160133211770234e-002	2.462012e-001	7.933367e-005
